1	A K Q J T	SF	Royal Flush
2	K Q J T 9	SF	King-High Straight Flush
3	Q J T 9 8	SF	Queen-High Straight Flush
4	J T 9 8 7	SF	Jack-High Straight Flush
5	T 9 8 7 6	SF	Ten-High Straight Flush
6	A 9 8 7 6	SF	Nine-High Straight Flush
7	A A A A K	4K	Four Aces
8	A A A A Q	4K	Four Aces
9	A A A A J	4K	Four Aces
10	A A A A T	4K	Four Aces
11	A A A A 9	4K	Four Aces
12	A A A A 8	4K	Four Aces
13	A A A A 7	4K	Four Aces
14	A A A A 6	4K	Four Aces
15	K K K K A	4K	Four Kings
16	K K K K Q	4K	Four Kings
17	K K K K J	4K	Four Kings
18	K K K K T	4K	Four Kings
19	K K K K 9	4K	Four Kings
20	K K K K 8	4K	Four Kings
21	K K K K 7	4K	Four Kings
22	K K K K 6	4K	Four Kings
23	Q Q Q Q A	4K	Four Queens
24	Q Q Q Q K	4K	Four Queens
25	Q Q Q Q J	4K	Four Queens
26	Q Q Q Q T	4K	Four Queens
27	Q Q Q Q 9	4K	Four Queens
28	Q Q Q Q 8	4K	Four Queens
29	Q Q Q Q 7	4K	Four Queens
30	Q Q Q Q 6	4K	Four Queens
31	J J J J A	4K	Four Jacks
32	J J J J K	4K	Four Jacks
33	J J J J Q	4K	Four Jacks
34	J J J J T	4K	Four Jacks
35	J J J J 9	4K	Four Jacks
36	J J J J 8	4K	Four Jacks
37	J J J J 7	4K	Four Jacks
38	J J J J 6	4K	Four Jacks
39	T T T T A	4K	Four Tens
40	T T T T K	4K	Four Tens
41	T T T T Q	4K	Four Tens
42	T T T T J	4K	Four Tens
43	T T T T 9	4K	Four Tens
44	T T T T 8	4K	Four Tens
45	T T T T 7	4K	Four Tens
46	T T T T 6	4K	Four Tens
47	9 9 9 9 A	4K	Four Nines
48	9 9 9 9 K	4K	Four Nines
49	9 9 9 9 Q	4K	Four Nines
50	9 9 9 9 J	4K	Four Nines
51	9 9 9 9 T	4K	Four Nines
52	9 9 9 9 8	4K	Four Nines
53	9 9 9 9 7	4K	Four Nines
54	9 9 9 9 6	4K	Four Nines
55	8 8 8 8 A	4K	Four Eights
56	8 8 8 8 K	4K	Four Eights
57	8 8 8 8 Q	4K	Four Eights
58	8 8 8 8 J	4K	Four Eights
59	8 8 8 8 T	4K	Four Eights
60	8 8 8 8 9	4K	Four Eights
61	8 8 8 8 7	4K	Four Eights
62	8 8 8 8 6	4K	Four Eights
63	7 7 7 7 A	4K	Four Sevens
64	7 7 7 7 K	4K	Four Sevens
65	7 7 7 7 Q	4K	Four Sevens
66	7 7 7 7 J	4K	Four Sevens
67	7 7 7 7 T	4K	Four Sevens
68	7 7 7 7 9	4K	Four Sevens
69	7 7 7 7 8	4K	Four Sevens
70	7 7 7 7 6	4K	Four Sevens
71	6 6 6 6 A	4K	Four Sixes
72	6 6 6 6 K	4K	Four Sixes
73	6 6 6 6 Q	4K	Four Sixes
74	6 6 6 6 J	4K	Four Sixes
75	6 6 6 6 T	4K	Four Sixes
76	6 6 6 6 9	4K	Four Sixes
77	6 6 6 6 8	4K	Four Sixes
78	6 6 6 6 7	4K	Four Sixes
79	A K Q J 9	F	Ace-High Flush
80	A K Q J 8	F	Ace-High Flush
81	A K Q J 7	F	Ace-High Flush
82	A K Q J 6	F	Ace-High Flush
83	A K Q T 9	F	Ace-High Flush
84	A K Q T 8	F	Ace-High Flush
85	A K Q T 7	F	Ace-High Flush
86	A K Q T 6	F	Ace-High Flush
87	A K Q 9 8	F	Ace-High Flush
88	A K Q 9 7	F	Ace-High Flush
89	A K Q 9 6	F	Ace-High Flush
90	A K Q 8 7	F	Ace-High Flush
91	A K Q 8 6	F	Ace-High Flush
92	A K Q 7 6	F	Ace-High Flush
93	A K J T 9	F	Ace-High Flush
94	A K J T 8	F	Ace-High Flush
95	A K J T 7	F	Ace-High Flush
96	A K J T 6	F	Ace-High Flush
97	A K J 9 8	F	Ace-High Flush
98	A K J 9 7	F	Ace-High Flush
99	A K J 9 6	F	Ace-High Flush
100	A K J 8 7	F	Ace-High Flush
101	A K J 8 6	F	Ace-High Flush
102	A K J 7 6	F	Ace-High Flush
103	A K T 9 8	F	Ace-High Flush
104	A K T 9 7	F	Ace-High Flush
105	A K T 9 6	F	Ace-High Flush
106	A K T 8 7	F	Ace-High Flush
107	A K T 8 6	F	Ace-High Flush
108	A K T 7 6	F	Ace-High Flush
109	A K 9 8 7	F	Ace-High Flush
110	A K 9 8 6	F	Ace-High Flush
111	A K 9 7 6	F	Ace-High Flush
112	A K 8 7 6	F	Ace-High Flush
113	A Q J T 9	F	Ace-High Flush
114	A Q J T 8	F	Ace-High Flush
115	A Q J T 7	F	Ace-High Flush
116	A Q J T 6	F	Ace-High Flush
117	A Q J 9 8	F	Ace-High Flush
